HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HIscore	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
HPGD	HGNC:5154	1.4357e-05	1.25	0.645225803959253	30.0	4.938941062	0.464527434	1.371147921	False	True
ACVR2A	HGNC:173	0.99972	0.17	0.873200374027888	NA	0.7625078938	0.565027621	0.091984976	False	False
ZIC3	HGNC:12874	0.92495	0.361	NA	3.0	NA	0.536823074	NA	False	True
TEX10	HGNC:25988	1.0	0.163	0.977110999612968	NA	2.690360052	0.370571916	0.149751165	False	False
ERP44	HGNC:18311	0.99106	0.274	0.816917015179705	NA	2.460969886	0.533534708	0.145556193	False	False
PPIL1	HGNC:9260	0.12108	0.812	0.319499923569844	NA	2.93289633	0.655840349	0.818196209	False	True
USP49	HGNC:20078	0.93828	0.346	0.840605387992758	NA	2.221666434	0.475401553	NA	False	False
YTHDF1	HGNC:15867	0.9942	0.241	0.856846653033071	NA	3.583591041	0.468985158	0.206540432	False	False
KDM2B	HGNC:13610	1.0	0.178	0.990531422436603	NA	3.045118493	0.537881019	NA	False	True
RAB39B	HGNC:16499	0.82529	0.52	NA	3.0	NA	0.646555751	NA	False	True
ATXN7L1	HGNC:22210	0.99884	0.221	0.953786900643887	NA	3.090480228	0.369743984	0.149900367	False	False
PDE6H	HGNC:8790	0.0082921	1.807	0.164246885491219	NA	1.696072876	0.682078566	1.331305963	False	True
ZBTB2	HGNC:20868	0.9982	0.162	0.983157167007871	NA	1.307223572	0.509665716	0.0742866	False	False
CC2D1A	HGNC:30237	0.0084599	0.42	0.263699077127149	NA	2.250709057	0.330047128	0.472440392	True	True
MED27	HGNC:2377	1.7718e-05	1.016	0.682194060314817	NA	3.363523825	0.643618721	0.989384682	False	True
ETV1	HGNC:3490	0.93694	0.347	0.966382248027946	NA	3.2924576610000003	0.477770059	0.238354092	False	False
ALPK3	HGNC:17574	8.415800000000001e-25	0.911	0.799544766029328	NA	2.957745979	0.280969963	0.915695839	True	False
